Source,Call
profiler._count_special_characters,profiler.self.col_data.str.count
profiler._count_special_characters,profiler.self.col_data.str.count
profiler.profile_phone_numbers,profiler.print
profiler.profile_phone_numbers,phonenumbers.parse
profiler.profile_phone_numbers,phonenumbers.is_valid_number
profiler._identify_invalid_patterns_regex,profiler.self.col_data.str.contains
profiler._identify_invalid_patterns_regex,profiler.int
profiler._identify_invalid_patterns_regex,profiler.matches.sum
profiler.profile,profiler.self.col_data.describe.to_dict
profiler.profile,profiler.self.detect_outliers
profiler.profile,profiler.self.col_data.nunique
profiler.profile,profiler.round
profiler.profile,profiler.round
profiler.profile,profiler.self.col_data.value_counts.head.round.to_dict
profiler.profile,profiler.self.col_data.value_counts.tail.round.to_dict
profiler.profile,profiler.outliers.tolist
profiler.profile,profiler.mean
profiler.profile,profiler.self.col_data.describe
profiler.profile,profiler.round
profiler.profile,profiler.self.col_data.skew
profiler.profile,profiler.self.col_data.kurt
profiler.profile,profiler.stats.items
profiler.profile,profiler.self.col_data.value_counts.head.round
profiler.profile,profiler.self.col_data.value_counts.tail.round
profiler.profile,profiler.self.col_data.value_counts.head
profiler.profile,profiler.self.col_data.value_counts.tail
profiler.profile,profiler.self.col_data.value_counts
profiler.profile,profiler.self.col_data.value_counts
profiler.detect_outliers,profiler.self.col_data.quantile
profiler.detect_outliers,profiler.self.col_data.quantile
profiler.detect_outliers,profiler.ValueError
profiler.detect_outliers,profiler.self.col_data.std
profiler.detect_outliers,profiler.self.col_data.mean
profiler.__init__,profiler.self._initialize_custom_types
profiler.__init__,profiler.self._preprocess_data
profiler._initialize_custom_types,profiler.str
profiler._preprocess_data,profiler.self.custom_types.items
profiler._preprocess_data,profiler.apply
profiler._preprocess_data,profiler.astype
profiler._preprocess_data,profiler.self.convert_unix_timestamps
profiler._preprocess_data,profiler.self._treat_currency
profiler._preprocess_data,profiler.replace
profiler._preprocess_data,pandas.to_datetime
profiler._treat_currency,pandas.to_numeric.astype
profiler._treat_currency,profiler.coll.fillna
profiler._treat_currency,pandas.to_numeric
profiler._treat_currency,profiler.replace.replace
profiler._treat_currency,profiler.replace
profiler.convert_unix_timestamps,pandas.to_datetime
profiler.convert_unix_timestamps,profiler.print
profiler.convert_unix_timestamps,profiler.print
profiler.profile_dataset,profiler.print
profiler.profile_dataset,os.path.join
profiler.profile_dataset,profiler.TemporalAnalyzer
profiler.profile_dataset,profiler.self.custom_types.items
profiler.profile_dataset,profiler.DataProfilerPlots
profiler.profile_dataset,profiler.profiler_plotter.missing_value_matrix
profiler.profile_dataset,profiler.string_profiles.keys
profiler.profile_dataset,profiler.numeric_profiles.keys
profiler.profile_dataset,profiler.len
profiler.profile_dataset,profiler.len
profiler.profile_dataset,profiler.self.df.isnull.sum.sum
profiler.profile_dataset,profiler.self.df.duplicated.sum
profiler.profile_dataset,os.path.exists
profiler.profile_dataset,os.makedirs
profiler.profile_dataset,os.path.exists
profiler.profile_dataset,os.makedirs
profiler.profile_dataset,profiler.print
profiler.profile_dataset,re.sub
profiler.profile_dataset,re.sub
profiler.profile_dataset,profiler.profiler_plotter.column_chart
profiler.profile_dataset,profiler.profiler_plotter.column_chart
profiler.profile_dataset,re.sub
profiler.profile_dataset,re.sub
profiler.profile_dataset,profiler.profiler_plotter.histogram
profiler.profile_dataset,profiler.profiler_plotter.kde_plot
profiler.profile_dataset,profiler.profiler_plotter.box_plot
profiler.profile_dataset,profiler.temporal_analyzer.analyze_temporal_column
profiler.profile_dataset,profiler.self.df.isnull.sum
